property_id,property_name,address,city,state,zip_code,market,submarket,property_type,building_class,total_sqft,rentable_sqft,num_floors,year_built,building_age,last_renovated,parking_spaces,parking_ratio,property_value,value_per_sqft,noi_annual,noi_per_sqft,cap_rate,base_rent_psf,effective_rent_psf,potential_rental_income,effective_rental_income,occupancy_rate,occupied_sqft,vacant_sqft,market_vacancy_rate,opex_total_annual,opex_per_sqft,property_tax_annual,insurance_annual,utilities_annual,maintenance_annual,management_fee_annual,cam_annual,num_tenants,walt_years,walt_months,lease_expiry_next_12mo_sqft,avg_tenant_size_sqft,largest_tenant_sqft,tenant_concentration_risk,loan_amount,loan_to_value,debt_service_coverage_ratio,debt_yield,leed_certified,leed_level,energy_star_score,energy_star_certified,annual_energy_use_kbtu,energy_cost_annual,energy_cost_psf,water_usage_gallons,water_cost_annual,waste_diversion_rate,ghg_emissions_mtco2e,market_tier,market_rent_growth_yoy,market_cap_rate,market_absorption_sf,maintenance_risk_score,tenant_risk_score,market_risk_score,esg_risk_score,management_company,acquisition_date,last_appraisal_date,last_inspection_date
CBRE_00001,Industrial at Austin - 001,6496 Commerce Ave,Austin,TX,35658,Austin,Austin_Zone_2,Industrial,C,145908,134235,1,2001,23,2021.0,580,2.98,-10098909.78,-69.21,-555440.04,-3.81,0.055,7.59,6.83,1107428.77,999521.9,0.921,134378,11530,0.081,1554961.94,10.66,437886.89,54194.94,408800.39,110777.7,40796.81,502505.21,1,3.16,38.0,43772,134378,134378,0.677,-6227903.98,0.715,1.73,0.098,True,Silver,60,False,4112508,566764,3.13,2302603,30579,0.43,718.39,1,0.035,0.055,79740,0.68,0.48,0.44,0.32,JLL,2021-12-31,2023-02-04,2023-07-25
CBRE_00002,Industrial at Austin - 002,8016 Park St,Austin,TX,84065,Austin,Austin_Zone_5,Industrial,A,102130,93960,2,2006,18,2018.0,306,2.0,-3998005.8,-39.15,-219890.32,-2.15,0.055,13.54,12.18,1382494.74,1214182.4,0.896,91527,10603,0.081,1434072.72,14.04,441754.42,78614.78,335973.56,135608.15,49558.47,392563.34,1,1.02,12.2,30639,91527,91527,0.632,-2073516.37,0.747,1.81,0.088,False,,62,False,2867545,370827,3.41,2138110,67688,0.35,438.77,1,0.038,0.055,52689,0.24,0.63,0.44,0.51,Newmark,2020-12-22,2023-07-20,2023-02-02
CBRE_00003,Office at Chicago - 003,7135 Main Ave,Chicago,IL,60636,Chicago,Chicago_Zone_3,Office,B,104493,96133,24,2020,4,,416,3.98,18831617.66,180.22,1318213.24,12.62,0.07,31.73,28.56,3315900.98,2745497.69,0.845,88284,16209,0.201,1427284.45,13.66,432572.88,71096.19,274038.34,225333.81,112061.13,312182.09,6,3.25,39.1,31348,14714,23734,0.464,11957329.09,0.551,1.95,0.104,True,Silver,100,True,6194890,392991,3.25,1508303,27513,0.32,608.79,1,0.015,0.07,69253,0.27,0.22,0.56,0.23,Newmark,2020-07-31,2023-12-14,2024-04-17
CBRE_00004,Industrial at Dallas - 004,1953 Park Way,Dallas,TX,56576,Dallas,Dallas_Zone_2,Industrial,A,111612,102683,1,2010,14,2018.0,333,3.98,-4745608.37,-42.52,-275245.29,-2.47,0.058,9.12,8.21,1017672.53,930045.86,0.933,104084,7529,0.074,1205291.14,10.8,325276.62,42672.5,286640.35,134947.25,37961.06,377793.37,1,1.52,18.2,33484,104084,104084,0.044,-3095992.59,0.626,1.19,0.091,False,,73,False,4544376,276701,2.29,1935557,88329,0.22,554.51,1,0.039,0.058,34493,0.26,0.59,0.46,0.52,JLL,2021-05-16,2024-09-01,2023-07-17
CBRE_00005,Industrial at Miami - 005,6794 Main Ave,Miami,FL,21111,Miami,Miami_Zone_1,Industrial,C,150926,138852,2,2018,6,,600,1.99,-4649205.93,-30.8,-241758.71,-1.6,0.052,8.52,7.66,1285298.73,1213572.27,0.963,145411,5514,0.045,1455330.98,9.64,320313.31,89868.14,430912.11,108276.65,49533.56,456427.21,1,1.46,17.5,45278,145411,145411,0.173,-2969913.69,0.632,1.36,0.084,False,,45,False,6121698,573644,3.27,2276781,61808,0.22,1041.96,1,0.047,0.052,55010,0.49,0.58,0.44,0.61,Colliers,2016-08-09,2024-09-16,2024-02-24
CBRE_00006,Mixed Use at Los Angeles - 006,6115 Commerce Ave,Los Angeles,CA,56214,Los Angeles,Los Angeles_Zone_3,Mixed Use,B,122126,112356,7,1997,27,2018.0,244,4.0,41445144.66,339.36,2441119.02,19.99,0.0589,40.75,36.68,4977042.02,4022509.03,0.825,100718,21408,0.136,1581390.01,12.95,348273.51,55284.09,301800.36,224699.03,164184.04,487148.98,12,1.51,18.1,36638,8393,24367,0.151,28957839.69,0.626,1.64,0.1,False,,60,False,5361911,420711,2.56,1265801,71722,0.32,575.02,1,0.032,0.0589,45208,0.61,0.32,0.52,0.53,JLL,2022-01-09,2023-04-09,2023-02-06
CBRE_00007,Data Center at Los Angeles - 007,3109 Main St,Los Angeles,CA,66958,Los Angeles,Los Angeles_Zone_3,Data Center,B,40951,37675,1,1986,38,1992.0,120,1.95,10214740.16,249.44,601648.2,14.69,0.0589,33.5,30.15,1371830.99,1162505.31,0.865,35410,5540,0.136,560857.12,13.7,127686.94,20366.68,130568.46,147117.14,47449.2,87668.7,6,4.22,50.6,9704,5902,12824,0.41,6179358.17,0.564,1.67,0.083,False,,49,False,4926830,133327,2.39,453084,17939,0.4,172.12,1,0.031,0.0589,51367,0.61,0.15,0.52,0.54,Colliers,2020-06-05,2023-02-20,2024-10-26
CBRE_00008,Office at Austin - 008,4242 Commerce Plaza,Austin,TX,90738,Austin,Austin_Zone_4,Office,C,64765,59584,24,2008,16,2014.0,192,2.96,9324666.03,143.98,634077.29,9.79,0.068,27.55,24.79,1784042.94,1473021.03,0.843,54565,10199,0.218,838943.74,12.95,289356.19,31093.27,113605.26,115499.23,60123.31,229266.48,4,2.08,25.0,19429,13641,8745,0.179,5092045.5,0.52,1.51,0.108,False,,47,False,2932566,248077,2.88,880594,16601,0.16,306.43,1,0.053,0.068,41321,0.59,0.33,0.49,0.62,Cushman & Wakefield,2018-04-27,2024-12-04,2024-03-22
CBRE_00009,Industrial at Dallas - 009,6765 Business St,Dallas,TX,89605,Dallas,Dallas_Zone_5,Industrial,B,123463,113586,1,2015,9,,369,3.99,-8107188.01,-65.67,-470216.9,-3.81,0.058,7.05,6.34,870179.93,804207.63,0.943,116431,7032,0.074,1274424.53,10.32,263964.09,39553.03,396428.78,177643.07,32824.8,364010.76,2,1.1,13.2,37039,58215,17910,0.061,-5301799.3,0.736,1.95,0.115,False,,59,False,4556963,444700,3.35,2296467,34212,0.22,894.46,1,0.042,0.058,51683,0.36,0.45,0.46,0.56,Newmark,2018-12-11,2023-06-17,2023-02-12
CBRE_00010,Office at New York - 010,7264 Commerce Plaza,New York,NY,54425,New York,New York_Zone_5,Office,A,82025,75463,19,2011,13,2016.0,328,2.0,87886376.01,1071.46,4833750.68,58.93,0.055,91.01,81.91,7465043.07,5952770.73,0.814,66743,15282,0.168,1119020.05,13.64,247868.58,35299.15,204411.94,167276.08,242970.23,221194.07,6,4.65,55.8,17639,11124,22220,0.257,56288294.85,0.56,1.73,0.11,False,,68,False,4038999,226016,3.07,1431203,35580,0.23,425.75,1,0.017,0.055,41774,0.27,0.14,0.54,0.53,JLL,2022-08-14,2024-01-19,2024-07-17
