tenant_id,property_id,tenant_name,industry,credit_rating,lease_sqft,lease_start_date,lease_end_date,lease_term_years,base_rent_psf,annual_rent,rent_escalation_rate,security_deposit,renewal_probability,payment_history_score,tenant_improvements_cost
T_00001,CBRE_00001,Technology Corp 1,Finance,A,134378,2021-12-17,2024-12-16,3,8.114077513630384,935858,0.037,2039858,0.77,0.98,4396883
T_00002,CBRE_00002,Retail Corp 2,Education,BB,91527,2022-02-24,2029-02-22,7,12.807877787997317,1356479,0.022,2478551,0.62,0.94,4476552
T_00003,CBRE_00003,Finance Corp 3,Non-Profit,BB,23734,2019-07-20,2022-07-19,3,31.428611557170605,813328,0.034,1506160,0.93,0.87,513231
T_00004,CBRE_00003,Non-Profit Corp 4,Retail,A,19024,2021-06-14,2024-06-13,3,29.69261949412589,622608,0.04,1207257,0.83,0.94,692415
T_00005,CBRE_00003,Manufacturing Corp 5,Technology,CCC,10490,2018-11-12,2023-11-11,5,32.44020555741796,310983,0.04,665721,0.78,0.98,272483
T_00006,CBRE_00003,Consulting Corp 6,Manufacturing,B,15054,2018-02-24,2028-02-22,10,31.704836900492154,453414,0.032,955346,0.75,0.88,556212
T_00007,CBRE_00003,Manufacturing Corp 7,Finance,AAA,15026,2019-12-20,2024-12-18,5,33.3132984776598,490185,0.021,953538,0.94,0.85,655102
T_00008,CBRE_00003,Education Corp 8,Legal,AAA,16478,2019-11-14,2022-11-13,3,33.175735607717144,542070,0.028,1045688,0.83,0.99,492928
T_00009,CBRE_00004,Non-Profit Corp 9,Education,BB,104084,2020-10-27,2023-10-27,3,8.852217170424524,1042024,0.034,1898492,0.73,0.87,4546492
T_00010,CBRE_00005,Healthcare Corp 10,Manufacturing,BBB,145411,2023-04-23,2028-04-21,5,8.827783173998263,1199169,0.027,2477803,0.71,0.96,3848391
T_00011,CBRE_00006,Healthcare Corp 11,Healthcare,B,24367,2018-11-19,2023-11-18,5,41.64167452351988,1049141,0.033,1985910,0.77,0.96,1290578
T_00012,CBRE_00006,Consulting Corp 12,Consulting,BBB,5030,2021-12-28,2026-12-27,5,42.888510332728,190941,0.035,409975,0.62,0.92,249923
T_00013,CBRE_00006,Consulting Corp 13,Government,BBB,4807,2021-08-27,2026-08-26,5,44.54572966507527,214324,0.037,391770,0.71,0.99,228686
T_00014,CBRE_00006,Healthcare Corp 14,Finance,A,6198,2023-05-09,2026-05-08,3,39.864965687781115,235347,0.036,505129,0.72,0.99,332825
T_00015,CBRE_00006,Healthcare Corp 15,Manufacturing,CCC,9779,2019-06-05,2022-06-04,3,40.23950896224199,396234,0.03,796957,0.91,0.94,466900
T_00016,CBRE_00006,Consulting Corp 16,Manufacturing,B,6173,2018-01-17,2028-01-15,10,44.41059738478662,273890,0.036,503134,0.84,0.98,271765
T_00017,CBRE_00006,Consulting Corp 17,Government,BBB,4403,2023-12-28,2028-12-26,5,43.81443596973772,191305,0.021,358857,0.91,0.86,161217
T_00018,CBRE_00006,Finance Corp 18,Retail,A,8783,2023-11-13,2026-11-12,3,36.757926271102534,371918,0.032,715829,0.83,0.91,248834
T_00019,CBRE_00006,Consulting Corp 19,Legal,BBB,8470,2018-02-06,2021-02-05,3,38.70203280812773,322251,0.035,690325,0.79,0.88,274436
T_00020,CBRE_00006,Government Corp 20,Non-Profit,BBB,10180,2018-03-10,2028-03-07,10,40.93490773502014,429220,0.021,829674,0.89,0.95,273310
T_00021,CBRE_00006,Non-Profit Corp 21,Legal,BBB,7848,2022-02-12,2025-02-11,3,37.69296682839226,313731,0.021,639636,0.7,0.91,307077
T_00022,CBRE_00006,Government Corp 22,Finance,BBB,7244,2019-01-30,2024-01-29,5,43.582609857073805,303003,0.023,590410,0.71,0.96,358848
T_00023,CBRE_00007,Healthcare Corp 23,Consulting,A,12824,2023-08-06,2028-08-04,5,34.59422955261902,470916,0.033,859208,0.91,0.9,465231
T_00024,CBRE_00007,Technology Corp 24,Manufacturing,BBB,6352,2020-12-21,2023-12-21,3,36.622045910396096,199831,0.021,425613,0.75,0.94,202647
T_00025,CBRE_00007,Retail Corp 25,Non-Profit,BB,4706,2022-07-16,2025-07-15,3,30.882671353478322,154649,0.036,315294,0.76,0.98,158472
T_00026,CBRE_00007,Manufacturing Corp 26,Retail,B,6584,2019-10-07,2022-10-06,3,35.189758196867736,208755,0.04,441157,0.78,0.99,264702
T_00027,CBRE_00007,Government Corp 27,Retail,BBB,4390,2020-05-03,2025-05-02,5,33.18211623505541,133444,0.025,294140,0.67,0.98,192968
T_00028,CBRE_00007,Manufacturing Corp 28,Non-Profit,CCC,5708,2018-02-20,2023-02-19,5,32.23881914606927,179229,0.028,382457,0.76,0.98,242019
T_00029,CBRE_00008,Healthcare Corp 29,Consulting,BBB,8745,2020-12-24,2027-12-23,7,25.68834701846619,244626,0.038,481850,0.89,0.94,306804
T_00030,CBRE_00008,Retail Corp 30,Non-Profit,AA,8965,2023-01-22,2028-01-21,5,30.25186573506819,263084,0.031,493978,0.77,0.95,296362
T_00031,CBRE_00008,Legal Corp 31,Government,A,8405,2022-03-04,2032-03-01,10,27.70265615976288,208788,0.022,463096,0.81,0.89,472572
T_00032,CBRE_00008,Retail Corp 32,Healthcare,BB,13840,2018-05-26,2025-05-24,7,25.52903445316108,381456,0.036,762597,0.68,0.98,306130
T_00033,CBRE_00009,Manufacturing Corp 33,Retail,BB,17910,2023-04-19,2026-04-18,3,7.036043935617787,116416,0.038,252531,0.84,0.93,626378
T_00034,CBRE_00009,Consulting Corp 34,Government,AA,62547,2023-02-17,2030-02-15,7,7.0423403505987805,439620,0.027,881913,0.88,0.86,1763874
T_00035,CBRE_00010,Non-Profit Corp 35,Legal,AA,22220,2023-11-28,2028-11-26,5,94.46271336541503,2013760,0.026,4044484,0.76,0.88,1266617
T_00036,CBRE_00010,Retail Corp 36,Manufacturing,BB,4933,2023-12-17,2026-12-16,3,90.37862405717394,486511,0.036,897887,0.7,0.98,121690
T_00037,CBRE_00010,Consulting Corp 37,Manufacturing,BB,4774,2023-03-11,2033-03-08,10,85.70776497461323,426271,0.027,868947,0.72,0.96,207047
T_00038,CBRE_00010,Retail Corp 38,Finance,BB,4792,2022-09-07,2032-09-04,10,93.28819529052214,471326,0.038,872149,0.65,0.87,241865
T_00039,CBRE_00010,Non-Profit Corp 39,Legal,AAA,12973,2020-10-08,2025-10-07,5,99.55508483327054,1279529,0.028,2361333,0.78,0.92,717247
T_00040,CBRE_00010,Non-Profit Corp 40,Education,BBB,10584,2019-05-23,2024-05-21,5,99.37081873310389,900701,0.022,1926504,0.91,0.98,580741
T_00041,CBRE_00011,Healthcare Corp 41,Education,A,10514,2019-06-23,2024-06-21,5,27.60627083680669,299038,0.023,606868,0.92,0.96,363769
T_00042,CBRE_00011,Technology Corp 42,Government,A,6792,2023-03-19,2028-03-17,5,28.456830146164528,210576,0.021,392040,0.73,0.99,139871
T_00043,CBRE_00011,Legal Corp 43,Government,AAA,11812,2023-09-25,2026-09-24,3,26.381057609673853,318511,0.021,681768,0.72,0.86,563281
T_00044,CBRE_00011,Consulting Corp 44,Finance,BB,11202,2022-03-13,2027-03-12,5,26.825277502183507,326382,0.034,646600,0.9,0.99,575640
T_00045,CBRE_00011,Manufacturing Corp 45,Government,BBB,9792,2018-03-08,2021-03-07,3,28.90354453552203,260258,0.021,565179,0.86,0.93,325963
T_00046,CBRE_00011,Healthcare Corp 46,Consulting,AA,7961,2021-03-15,2026-03-14,5,28.64991178043962,236543,0.02,459480,0.72,0.91,306866
T_00047,CBRE_00011,Legal Corp 47,Consulting,BBB,6809,2022-08-31,2027-08-30,5,29.63245398624044,205054,0.02,393029,0.64,0.9,178364
T_00048,CBRE_00012,Healthcare Corp 48,Manufacturing,BB,63582,2018-02-24,2023-02-23,5,10.694347874536199,688306,0.033,1294530,0.86,0.89,3797137
T_00049,CBRE_00012,Manufacturing Corp 49,Finance,BB,67279,2019-06-01,2024-05-30,5,10.818538103909459,626190,0.022,1369797,0.83,0.89,3115083
T_00050,CBRE_00013,Government Corp 50,Non-Profit,A,24944,2020-08-18,2030-08-16,10,16.405831644962905,453331,0.023,846599,0.93,0.93,1423219
T_00051,CBRE_00013,Government Corp 51,Non-Profit,BB,21416,2021-08-14,2026-08-13,5,15.794656047864557,333976,0.038,726851,0.61,1.0,1004085
T_00052,CBRE_00013,Manufacturing Corp 52,Education,BBB,23535,2023-02-27,2030-02-25,7,17.686565063273658,392839,0.021,798790,0.71,0.9,478878
T_00053,CBRE_00013,Education Corp 53,Manufacturing,BBB,13042,2020-04-09,2027-04-08,7,17.54425614319165,220999,0.034,442630,0.61,0.96,278225
T_00054,CBRE_00014,Education Corp 54,Technology,BBB,27581,2023-07-25,2026-07-24,3,34.86702573899257,1010618,0.037,1984729,0.73,0.96,1447264
T_00055,CBRE_00014,Retail Corp 55,Education,AA,407,2020-11-08,2030-11-06,10,32.69203401946479,13651,0.033,29315,0.74,0.97,9320
T_00056,CBRE_00014,Non-Profit Corp 56,Finance,A,399,2023-06-13,2028-06-11,5,37.994313793791584,15563,0.034,28683,0.94,0.86,8565
T_00057,CBRE_00014,Finance Corp 57,Legal,BBB,798,2021-03-26,2026-03-25,5,34.23731370795502,29794,0.026,57409,0.9,0.88,16428
T_00058,CBRE_00014,Retail Corp 58,Healthcare,AA,440,2018-08-08,2023-08-07,5,39.52235357078846,15765,0.033,31653,0.91,0.85,25969
T_00059,CBRE_00014,Non-Profit Corp 59,Technology,B,492,2021-08-14,2024-08-13,3,38.64856130010067,15995,0.021,35386,0.92,0.87,22049
T_00060,CBRE_00014,Non-Profit Corp 60,Manufacturing,CCC,641,2022-01-08,2027-01-07,5,36.35553123989436,24654,0.026,46115,0.75,0.92,19962
T_00061,CBRE_00014,Retail Corp 61,Manufacturing,BBB,504,2023-01-30,2030-01-28,7,39.34448758172751,17311,0.034,36236,0.82,0.85,27901
T_00062,CBRE_00014,Finance Corp 62,Technology,AAA,366,2021-01-24,2024-01-24,3,34.14797462066137,13580,0.021,26344,0.75,0.99,18909
T_00063,CBRE_00014,Finance Corp 63,Consulting,A,461,2022-06-30,2029-06-28,7,32.54234435239942,17941,0.032,33174,0.62,0.94,11894
T_00064,CBRE_00014,Legal Corp 64,Education,AAA,304,2021-07-14,2031-07-12,10,38.01291055629159,9975,0.03,21886,0.82,0.95,6794
T_00065,CBRE_00014,Education Corp 65,Education,AA,526,2023-11-01,2026-10-31,3,37.15761812847106,18999,0.023,37835,0.79,0.99,10843
T_00066,CBRE_00014,Non-Profit Corp 66,Non-Profit,BBB,654,2018-10-20,2028-10-17,10,33.68470657693771,22512,0.032,47062,0.65,0.86,33968
T_00067,CBRE_00014,Legal Corp 67,Government,BBB,696,2019-06-03,2022-06-02,3,34.36943654230432,24527,0.025,50077,0.66,0.91,40777
T_00068,CBRE_00014,Retail Corp 68,Manufacturing,BBB,439,2019-03-27,2024-03-25,5,38.451865857152875,15470,0.036,31559,0.64,0.98,12022
T_00069,CBRE_00014,Government Corp 69,Non-Profit,BBB,309,2022-04-19,2027-04-18,5,37.53343230424058,10107,0.03,22208,0.72,0.94,6712
T_00070,CBRE_00014,Education Corp 70,Healthcare,BBB,306,2019-03-03,2024-03-01,5,37.42013233143303,12111,0.021,22032,0.62,0.86,15223
T_00071,CBRE_00014,Retail Corp 71,Technology,AA,364,2019-02-11,2024-02-10,5,35.91999345937305,12643,0.037,26209,0.87,0.88,9508
T_00072,CBRE_00014,Government Corp 72,Finance,BB,485,2021-03-26,2031-03-24,10,32.736609885209326,18168,0.028,34913,0.71,0.87,26004
T_00073,CBRE_00014,Consulting Corp 73,Manufacturing,B,323,2023-09-30,2026-09-29,3,36.96423905283882,11469,0.04,23223,0.9,0.97,9990
T_00074,CBRE_00014,Finance Corp 74,Finance,B,844,2020-02-29,2025-02-27,5,33.54905938316201,28158,0.031,60699,0.62,0.95,24993
T_00075,CBRE_00014,Healthcare Corp 75,Retail,A,354,2023-11-03,2028-11-01,5,33.03338118564254,13257,0.034,25496,0.66,0.85,12872
T_00076,CBRE_00014,Consulting Corp 76,Retail,B,620,2020-01-22,2025-01-20,5,34.91553006611687,21696,0.024,44594,0.94,0.92,26533
T_00077,CBRE_00014,Government Corp 77,Legal,A,546,2020-06-06,2025-06-05,5,39.245789261612195,19436,0.023,39258,0.64,0.95,20463
T_00078,CBRE_00014,Education Corp 78,Government,B,340,2023-11-05,2030-11-03,7,38.28159995501838,12159,0.031,24485,0.68,0.88,18006
T_00079,CBRE_00014,Retail Corp 79,Government,BBB,743,2023-01-07,2028-01-06,5,39.21103844489728,29096,0.024,53475,0.66,0.87,38313
T_00080,CBRE_00014,Finance Corp 80,Government,BBB,290,2019-03-02,2022-03-01,3,34.35519792601352,10444,0.04,20842,0.64,0.91,16590
T_00081,CBRE_00014,Government Corp 81,Retail,AA,788,2019-08-04,2024-08-02,5,37.791617163385794,28818,0.022,56709,0.85,0.96,33051
T_00082,CBRE_00014,Finance Corp 82,Consulting,AAA,338,2018-10-04,2023-10-03,5,36.33061422215993,12392,0.024,24323,0.67,0.89,16383
T_00083,CBRE_00014,Technology Corp 83,Finance,BB,633,2022-08-20,2029-08-18,7,37.991843437311864,22149,0.038,45564,0.6,0.9,21204
T_00084,CBRE_00014,Technology Corp 84,Retail,BB,381,2023-06-16,2026-06-15,3,34.36553588082342,13241,0.028,27413,0.75,0.91,15295
T_00085,CBRE_00014,Finance Corp 85,Healthcare,BB,752,2022-12-29,2025-12-28,3,33.2473317620094,25039,0.039,54141,0.89,0.93,41380
T_00086,CBRE_00014,Legal Corp 86,Education,BB,852,2020-06-24,2025-06-23,5,34.05247190122093,28629,0.035,61342,0.72,0.87,27786
T_00087,CBRE_00014,Healthcare Corp 87,Education,BBB,491,2020-03-01,2027-02-28,7,32.61913824412493,18421,0.039,35365,0.82,0.88,14709
T_00088,CBRE_00014,Healthcare Corp 88,Retail,A,807,2018-06-10,2023-06-09,5,34.416772875822105,27911,0.024,58063,0.88,0.9,27288
T_00089,CBRE_00014,Education Corp 89,Manufacturing,BB,545,2020-01-07,2025-01-05,5,39.56412074084974,20954,0.031,39251,0.67,0.95,31367
T_00090,CBRE_00014,Government Corp 90,Legal,BB,407,2019-04-16,2022-04-15,3,35.30761657863665,13378,0.037,29320,0.8,0.9,13755
T_00091,CBRE_00014,Manufacturing Corp 91,Healthcare,BBB,452,2020-07-04,2025-07-03,5,37.94823014734423,16842,0.026,32548,0.79,0.98,10280
T_00092,CBRE_00014,Healthcare Corp 92,Manufacturing,A,331,2019-11-22,2024-11-20,5,37.74460403167217,12258,0.038,23818,0.66,0.96,7727
T_00093,CBRE_00014,Manufacturing Corp 93,Technology,BB,610,2019-10-31,2024-10-29,5,32.41345115988014,22027,0.024,43876,0.86,0.86,32476
