property_id,date,month,occupancy_rate,effective_rent_psf,noi,energy_cost,maintenance_cost,water_usage,tenant_satisfaction_score,work_orders_count,work_orders_avg_days,collections_rate
CBRE_00001,2023-11-20,2023-11,0.9119009709480506,6.8013853340148245,-46938.277375163605,47230.333333333336,9695.56009476017,191883.58333333334,8.1,7,6.4,0.95
CBRE_00001,2023-12-20,2023-12,0.9487168964197419,6.908425265975024,-47153.18925201068,49591.850000000006,9111.430911531646,196680.67291666666,7.7,10,7.4,0.978
CBRE_00001,2024-01-19,2024-01,0.99,6.841232715121634,-48121.78655973136,51320.600182920694,9898.762032968678,200192.3862201261,7.3,5,5.0,0.952
CBRE_00001,2024-02-18,2024-02,0.98148100856182,6.862237300372389,-48595.89909828712,51953.366666666676,8223.266401369592,201477.7625,7.6,8,9.7,0.973
CBRE_00001,2024-03-19,2024-03,0.9360925925267884,6.859538861654884,-51014.462294080484,51320.600182920694,8052.063477251623,200192.3862201261,6.7,12,9.8,0.964
CBRE_00001,2024-04-18,2024-04,0.9431641891949136,6.799323453464949,-48419.74392113374,49591.850000000006,10546.839224217778,196680.67291666666,7.6,7,5.9,0.985
CBRE_00001,2024-05-18,2024-05,0.9356749631165707,6.899194135121823,-45664.808335739166,47230.333333333336,8654.280312752684,191883.58333333334,6.9,8,6.8,0.98
CBRE_00001,2024-06-17,2024-06,0.8961845761852938,6.915801050480013,-46169.244749755046,44868.81666666667,9649.769676077687,187086.49375,8.3,5,7.2,0.958
CBRE_00001,2024-07-17,2024-07,0.8766136500694447,6.951579311953053,-44979.536598583065,43140.06648374598,8032.808987280263,183574.7804465406,6.8,8,5.5,0.967
CBRE_00001,2024-08-16,2024-08,0.865013776059711,6.823493559914985,-40522.05615168059,42507.3,10440.526336561825,182289.40416666667,7.1,9,5.8,0.951
CBRE_00001,2024-09-15,2024-09,0.8608652857237332,6.900311482968025,-44287.58494407816,43140.06648374598,10452.112178331554,183574.7804465406,7.6,11,6.9,0.954
CBRE_00001,2024-10-15,2024-10,0.886403361842446,6.943304340000463,-46727.173639037566,44868.816666666666,8940.553162647682,187086.49375,8.8,4,2.6,0.949
CBRE_00001,2024-11-14,2024-11,0.9061617824757084,6.762286158906857,-44785.70511098977,47230.333333333336,10234.868851857747,191883.58333333334,8.2,12,6.3,0.943
CBRE_00001,2024-12-14,2024-12,0.9513016944712546,7.025005107024195,-46234.1210291276,49591.850000000006,7907.502472135605,196680.67291666666,6.7,8,5.4,0.947
CBRE_00001,2025-01-13,2025-01,0.99,6.864995417299349,-49267.84850459943,51320.600182920694,9097.555629738863,200192.3862201261,6.6,5,3.1,0.952
CBRE_00001,2025-02-12,2025-02,0.9826668976252296,6.953941841715505,-49220.61771696736,51953.366666666676,10272.050947346768,201477.7625,7.0,11,9.4,0.983
CBRE_00001,2025-03-14,2025-03,0.9671282645740598,6.858336097682393,-47160.40239700142,51320.600182920694,8736.512200444959,200192.3862201261,7.5,6,3.7,0.946
CBRE_00001,2025-04-13,2025-04,0.9288006488821219,6.9644391017252225,-47603.91613318496,49591.850000000006,10513.386530735186,196680.67291666666,8.0,4,5.6,0.958
CBRE_00001,2025-05-13,2025-05,0.8951135864385922,6.854859525983904,-47391.812490991324,47230.333333333336,9180.195772834408,191883.58333333334,8.5,8,4.6,0.984
